,genre,publisher,critic_Score,user_Score,developer,cluster
541,2,3,87.0,7.8,47,36
542,0,7,83.0,7.0,57,6
543,1,29,80.0,8.0,159,42
544,3,0,75.0,8.0,160,39
545,5,0,97.0,8.9,23,77
546,0,2,87.0,4.9,82,36
547,3,1,0.0,0.0,1,10
548,5,4,78.0,7.3,141,39
549,0,12,50.0,5.4,161,31
550,0,12,0.0,0.0,1,94
551,3,0,0.0,0.0,1,10
552,6,4,82.0,7.5,162,72
553,5,2,0.0,0.0,1,10
554,9,37,79.0,8.8,163,87
555,3,37,25.0,4.3,163,86
556,5,20,0.0,0.0,1,90
557,3,0,70.0,7.4,21,16
558,1,31,85.0,7.7,164,42
559,3,7,92.0,8.2,58,36
560,5,27,82.0,7.7,119,2
561,8,3,87.0,6.1,72,77
562,0,2,90.0,8.0,82,36
563,6,9,83.0,8.2,14,72
564,0,2,83.0,7.0,82,6
565,1,2,82.0,8.2,40,6
566,1,3,0.0,0.0,1,38
567,4,7,81.0,8.4,88,6
568,5,3,92.0,8.6,165,77
569,10,34,83.0,0.0,166,42
570,5,18,79.0,8.0,50,47
571,2,8,0.0,0.0,1,38
572,8,5,82.0,7.8,52,72
573,5,13,0.0,0.0,1,32
574,1,7,73.0,7.9,35,16
575,3,27,71.0,0.0,167,29
576,9,22,66.0,8.2,117,84
577,0,7,84.0,6.1,18,36
578,1,7,0.0,0.0,1,38
579,0,12,77.0,6.8,69,47
580,1,3,82.0,8.4,168,6
581,5,17,0.0,0.0,1,90
582,1,7,62.0,6.2,169,70
583,7,38,0.0,0.0,1,17
584,8,1,82.0,8.1,15,72
585,11,7,0.0,9.0,170,79
586,10,12,73.0,0.0,171,47
587,3,26,0.0,0.0,1,22
588,3,21,91.0,8.7,58,73
589,9,27,0.0,0.0,1,66
590,0,7,83.0,6.1,57,6
591,3,12,0.0,0.0,1,94
592,5,39,71.0,6.9,172,88
593,8,23,96.0,9.1,77,73
594,5,27,62.0,7.6,173,84
595,0,7,85.0,6.4,57,36
596,0,4,83.0,8.9,60,6
597,0,10,42.0,5.5,38,58
598,0,7,85.0,6.8,57,36
599,3,1,73.0,2.9,174,16
600,1,2,81.0,8.5,40,6
601,8,4,78.0,3.5,7,39
602,9,27,71.0,7.2,157,29
