id,name,platform,year_of_Release,genre,publisher,na_Sales,eu_Sales,jp_Sales,other_Sales,global_Sales,critic_Score,user_Score,developer,rating
68,Mario Party 8,Wii,2007,Misc,Nintendo,3.74,2.24,1.58,0.7,8.26,62.0,6.3,Hudson,E
69,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,6.6,Electronic Arts,E
70,GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,96.0,9.2,Rare Ltd.,T
71,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.79,1.72,3.14,0.41,8.07,,,,
72,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,8.7,SquareSoft,T
73,The Sims 3,PC,2009,Simulation,Electronic Arts,0.98,6.42,0.0,0.6,8.0,86.0,7.6,The Sims Studio,T
74,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.57,3.86,0.66,0.91,7.99,,,,
75,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,8.6,SquareSoft,T
76,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.96,3.37,0.22,1.25,7.79,,,,
77,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,8.5,Game Freak,E
78,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,7.68,88.0,7.6,Rockstar Leeds,M
79,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.8,3.48,0.14,1.23,7.65,83.0,5.7,Sledgehammer Games,M
80,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,99.0,9.1,Nintendo,E
81,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,,,,
82,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.25,1.36,2.43,0.47,7.52,,,,
83,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.56,2.34,0.98,0.62,7.5,97.0,9.1,Nintendo EAD Tokyo,E
84,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.57,2.1,0.01,0.68,7.36,,,,
85,Call of Duty: World at War,X360,2008,Shooter,Activision,4.8,1.87,0.0,0.69,7.36,84.0,7.6,Treyarch,M
86,Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.0,7.4,EA DICE,M
87,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85.0,8.7,EA Black Box,E
88,Just Dance,Wii,2009,Misc,Ubisoft,3.48,2.98,0.0,0.73,7.2,49.0,8.0,Ubisoft Paris,E10+
89,Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85.0,7.5,EA DICE,M
90,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96.0,9.1,Namco,T
91,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.74,2.13,0.6,0.68,7.15,95.0,9.0,Nintendo,T
92,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91.0,8.9,Naughty Dog,E
93,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92.0,9.1,HAL Labs,T
94,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.5,3.19,0.24,1.11,7.04,87.0,6.4,Bethesda Game Studios,M
95,Mario Kart 8,WiiU,2014,Racing,Nintendo,3.11,2.09,1.28,0.5,6.98,88.0,9.1,Nintendo,E
96,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,,,,
97,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82.0,8.6,EA Canada,E
98,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88.0,8.5,EA LA,T
99,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,,,,
100,Just Dance 4,Wii,2012,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,7.3,Ubisoft,E10+
101,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93.0,7.7,Epic Games,M
102,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92.0,8.3,Naughty Dog,T
103,Zumba Fitness,Wii,2010,Sports,505 Games,3.45,2.59,0.0,0.66,6.7,,,Pipeworks Software Inc.,E
104,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.11,2.26,0.28,1.03,6.68,94.0,8.4,Infinity Ward,M
105,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,96.0,8.8,Naughty Dog,T
106,FIFA 17,PS4,2016,Sports,Electronic Arts,0.49,5.12,0.08,0.96,6.65,84.0,5.0,EA Sports EA Vancouver,E
107,FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,4.3,0.11,1.39,6.64,,,,
108,Big Brain Academy,DS,2005,Misc,Nintendo,1.66,2.74,1.6,0.62,6.62,74.0,7.4,Nintendo,E
109,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.48,95.0,8.8,Rockstar San Diego,M
110,FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86.0,4.3,EA Canada,E
111,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85.0,6.9,Ubisoft,M
112,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.16,1.78,1.03,0.46,6.43,87.0,8.6,Retro Studios,E
113,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97.0,8.6,Bungie Software,M
114,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,1.0,6.41,92.0,6.4,Bethesda Game Studios,M
115,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,76.0,9.1,Game Freak,E
116,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85.0,8.9,SquareSoft,E
117,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83.0,7.2,Bungie Software Bungie,M
118,Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92.0,8.6,Nintendo,E
119,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.7,1.93,0.09,0.58,6.3,95.0,9.0,Rockstar San Diego,M
120,World of Warcraft,PC,2004,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,93.0,7.3,Blizzard Entertainment,T
121,Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,87.0,8.1,Reflections Interactive,T
